,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,3,86,29,2.5,1,1,61,0,2,13,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2,2.12,1.75,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,4,170,43,5,1.9,2,80,1,2,5,19,2,2,3,-1,-0.53,-1.14,3.6,2.1,1.5,0.82,0.29,Matches
4,Tyler Adams,us USA,MF,Bournemouth,25,1999,28,"1,965",70,57.5,21.8,21,85,15,7,26,1,1.46,41,30,11,0.5,0.44,35.5,28.9,6.6,0.3,-0.25,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,22,"1,409",64,41.2,15.7,15,84,13,7,20,16,1.86,28,14,14,0.89,0.58,30.8,19.3,11.5,0.74,0.34,Matches
6,Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,29,"1,097",38,32.1,12.2,12,66,1,17,18,6,1.59,18,23,-5,-0.41,-0.88,18.2,19,-0.9,-0.07,-0.27,Matches
7,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,19,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,16,"1,410",88,41.2,15.7,16,88,15,0,,0,1.44,20,22,-2,-0.13,0.45,19.1,22.8,-3.6,-0.23,0.25,Matches
9,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,2,6,3,0.2,0.1,0,,0,2,3,10,0,0,0,0,0,0,0.1,0,0.1,1.71,1.42,Matches
10,Naouirou Ahamada,fr FRA,MF,Crystal Palace,22,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
11,Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,35,"2,995",86,87.6,33.3,35,86,28,0,,0,1.77,55,39,16,0.48,1.33,41.2,39.4,1.9,0.06,1.18,Matches
12,Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,37,"3,109",84,90.9,34.5,37,84,18,0,,0,1.05,46,67,-21,-0.61,-2.34,38.7,52.6,-13.9,-0.4,-0.25,Matches
13,Oyindamola Ajayi,eng ENG,MF,Tottenham,18,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
14,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,24,"1,438",60,42,16,17,79,5,7,14,2,1.33,20,25,-5,-0.31,-0.95,20.8,21.5,-0.7,-0.04,-0.23,Matches
15,Manuel Akanji,ch SUI,DF,Manchester City,29,1995,26,"2,014",77,58.9,22.4,23,86,20,3,12,2,2.04,46,28,18,0.8,0.16,43.7,29.1,14.6,0.65,0.28,Matches
16,Nathan Aké,nl NED,DF,Manchester City,29,1995,10,678,68,19.8,7.5,8,79,2,2,24,9,1.4,11,11,0,0,-0.92,12.6,13.5,-0.9,-0.12,-0.82,Matches
17,Matai Akinmboni,us USA,DF,Bournemouth,17,2006,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
18,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,1,10,10,0.3,0.1,0,,0,1,10,0,0,0,0,0,0,1.58,0.3,0,0.3,2.92,4.31,Matches
19,Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,15,764,51,22.3,8.5,7,84,2,8,22,0,1.47,12,9,3,0.35,0.52,8.2,11,-2.9,-0.34,-0.28,Matches
20,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,33,"2,365",72,69.2,26.3,28,79,12,5,29,1,2.27,67,25,42,1.6,1.34,58.6,21.7,36.9,1.4,0.84,Matches
21,Alisson,br BRA,GK,Liverpool,31,1992,28,"2,508",90,73.3,27.9,28,90,27,0,,0,2.18,64,29,35,1.26,0.27,62.2,27.4,34.9,1.25,0.39,Matches
22,Max Alleyne,eng ENG,DF,Manchester City,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
23,Miguel Almirón,py PAR,FW,Newcastle Utd,30,1994,9,157,17,4.6,1.7,1,67,0,8,11,14,1.56,1,3,-2,-1.15,-1.78,2.8,3.6,-0.8,-0.47,-1,Matches
24,Olabade Aluko,,DF,Leicester City,,,1,2,2,0.1,0,0,,0,1,2,1,0,0,0,0,0,1.24,0,0,0,-2.09,-1.06,Matches
25,Edson Álvarez,mx MEX,MF,West Ham,26,1997,28,"1,772",63,51.8,19.7,20,76,4,8,32,2,1.25,19,29,-10,-0.51,-0.18,23.5,29.7,-6.2,-0.32,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Will Alves,eng ENG,FW,Leicester City,19,2005,1,1,1,0,0,0,,0,1,1,2,0,0,0,0,0,1.24,0,0,0,2.92,3.96,Matches
27,Harry Amass,eng ENG,DF,Manchester Utd,17,2007,5,346,69,10.1,3.8,4,81,3,1,22,8,0.6,5,9,-4,-1.04,-0.86,5.4,6.3,-0.9,-0.24,-0.23,Matches
28,Samuel Amissah,eng ENG,DF,Fulham,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
29,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18,2006,2,28,14,0.8,0.3,0,,0,2,14,7,0,0,0,0,0,1.59,0.3,1.1,-0.8,-2.5,-1.14,Matches
30,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,1,8,8,0.2,0.1,0,,0,1,8,3,3,0,0,0,0,-0.55,0.2,0,0.2,1.97,1.43,Matches
31,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1,90,90,2.6,1,1,90,1,0,,0,0,1,2,-1,-1,-1.03,1.2,1.6,-0.4,-0.42,-0.74,Matches
32,Joachim Andersen,dk DEN,DF,Fulham,28,1996,29,"2,583",89,75.5,28.7,29,89,28,0,,2,1.45,43,42,1,0.03,0.14,39.5,35.8,3.7,0.13,0.33,Matches
33,Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,37,"2,728",74,79.8,30.3,33,79,13,4,27,0,1.76,49,37,12,0.4,0.4,35.2,39.3,-4.1,-0.13,-0.22,Matches
34,André,br BRA,MF,Wolves,23,2001,33,"2,472",75,72.3,27.5,31,80,14,2,3,2,1.15,39,46,-7,-0.25,0.5,29.9,40.5,-10.6,-0.39,-0.02,Matches
35,Aaron Anselmino,ar ARG,DF,Chelsea,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
36,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,24,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
37,Michail Antonio,jm JAM,FW,West Ham,34,1990,14,836,60,24.4,9.3,11,66,0,3,37,0,1.07,13,18,-5,-0.54,-0.16,11.4,17.8,-6.4,-0.69,-0.47,Matches
38,Antony,br BRA,"DF,MF",Manchester Utd,24,2000,8,141,18,4.1,1.6,0,,0,8,18,11,0.88,5,2,3,1.91,2.27,4.7,2.2,2.5,1.6,1.71,Matches
39,Genesis Antwi,se SWE,MF,Chelsea,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
40,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,12,497,41,14.5,5.5,7,62,0,5,12,7,1.08,2,10,-8,-1.45,-2.06,6.8,9.4,-2.6,-0.47,-1.02,Matches
41,Cameron Archer,eng ENG,FW,Southampton,23,2001,35,"1,441",41,42.1,16,13,71,0,22,24,2,0.26,10,34,-24,-1.5,0.14,15.7,36.6,-20.9,-1.31,0.11,Matches
42,Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,"2,260",87,66.1,25.1,25,88,24,1,55,8,0.96,29,41,-12,-0.48,-0.17,30.1,37.3,-7.2,-0.29,0.14,Matches
43,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,32,"2,013",63,58.9,22.4,21,79,8,11,32,6,0.34,17,56,-39,-1.74,-0.4,19.4,55.1,-35.7,-1.6,-0.54,Matches
44,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,"1,248",62,36.5,13.9,15,75,4,5,25,4,0.3,7,35,-28,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,Matches
45,Harrison Armstrong,eng ENG,MF,Everton,17,2007,3,48,16,1.4,0.5,0,,0,3,16,20,1,0,1,-1,-1.87,-1.85,0.7,0.4,0.2,0.44,0.57,Matches
46,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,"2,790",90,81.6,31,31,90,31,0,,1,1.48,50,39,11,0.35,0.21,53.6,38.3,15.3,0.49,0.46,Matches
47,Benjamin Arthur,eng ENG,DF,Brentford,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
48,Marco Asensio,es ESP,MF,Aston Villa,28,1996,13,743,57,21.7,8.3,9,72,3,4,23,0,2,18,8,10,1.21,1.31,14.1,11.1,3,0.36,0.26,Matches
49,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,90,90,2.6,1,1,90,1,0,,12,0,1,2,-1,-1,-1,0.9,2.5,-1.6,-1.57,-1.49,Matches
50,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,26,416,16,12.2,4.6,3,64,0,23,10,7,1.92,5,10,-5,-1.08,-1.59,5.7,6.5,-0.8,-0.18,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Yasin Ayari,se SWE,MF,Brighton,20,2003,34,"1,965",58,57.5,21.8,22,78,8,12,22,2,1.68,31,28,3,0.14,-0.11,32.5,29.6,2.9,0.13,0.05,Matches
52,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,1,21,21,0.6,0.2,0,,0,1,21,0,0,0,1,-1,-4.29,-4.31,0.7,1,-0.2,-0.99,-1.29,Matches
53,Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,30,"1,638",55,47.9,18.2,19,77,4,11,16,6,0.77,17,41,-24,-1.32,-0.16,16.1,28.9,-12.7,-0.7,0.64,Matches
54,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,5,334,67,9.8,3.7,3,88,2,2,35,17,1.8,7,5,2,0.54,-0.02,6.9,5,1.9,0.53,-0.02,Matches
55,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,24,"1,139",47,33.3,12.7,14,65,2,10,23,5,1.54,22,19,3,0.24,0.08,20.3,13.7,6.7,0.53,0.55,Matches
56,Carlos Baleba,cm CMR,MF,Brighton,20,2004,34,"2,661",78,77.8,29.6,31,83,15,3,27,2,1.68,55,39,16,0.54,1.61,47,39.6,7.4,0.25,0.64,Matches
57,Valentín Barco,ar ARG,"DF,MF",Brighton,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
58,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,20,581,29,17,6.5,3,85,2,17,19,4,1.75,10,10,0,0,-0.22,11.7,6.2,5.5,0.85,0.84,Matches
59,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,33,"1,755",53,51.3,19.5,17,80,6,16,25,1,1.82,34,23,11,0.56,0.02,31,24.1,6.9,0.35,-0.27,Matches
60,Calvin Bassey,ng NGA,DF,Fulham,24,1999,35,"3,074",88,89.9,34.2,34,90,34,1,14,2,1.51,49,47,2,0.06,0.58,44.5,38.9,5.7,0.17,1.16,Matches
61,Callum Bates,eng ENG,MF,Everton,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
62,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,360,90,10.5,4,4,90,4,0,,27,0.75,6,10,-4,-1,-0.82,7.3,7,0.3,0.06,0.11,Matches
63,Jan Bednarek,pl POL,DF,Southampton,28,1996,30,"2,531",84,74,28.1,30,84,26,0,,0,0.37,19,57,-38,-1.35,0.88,23.8,56.5,-32.6,-1.16,0.81,Matches
64,Asmir Begović,ba BIH,GK,Everton,37,1987,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
65,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,4,331,83,9.7,3.7,2,90,2,2,76,8,0,2,13,-11,-2.99,-1.56,2.5,10.2,-7.7,-2.08,-0.79,Matches
66,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,35,"1,677",48,49,18.6,20,69,1,15,20,2,1.09,29,31,-2,-0.11,0.56,22.8,26.3,-3.5,-0.19,0.37,Matches
67,Steven Benda,de GER,GK,Fulham,25,1998,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
68,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,26,"1,645",63,48.1,18.3,21,75,7,5,15,1,1.04,26,26,0,0,0.05,30.1,26.4,3.7,0.2,0.62,Matches
69,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,180,90,5.3,2,2,90,2,0,,16,1.5,3,4,-1,-0.5,-0.11,1.6,3,-1.4,-0.69,-0.32,Matches
70,Sander Berge,no NOR,MF,Fulham,26,1998,31,"2,224",72,65,24.7,26,81,16,5,23,0,1.48,33,35,-2,-0.08,-0.23,29.9,30.2,-0.3,-0.01,-0.18,Matches
71,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,27,"1,212",45,35.4,13.5,11,81,6,16,20,7,1.11,29,25,4,0.3,0.5,20.9,24.4,-3.5,-0.26,-0.22,Matches
72,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,30,"2,482",83,72.6,27.6,29,85,20,1,14,5,0.6,19,62,-43,-1.56,-1.18,20.6,53.4,-32.8,-1.19,-0.57,Matches
73,Beto,gw GNB,FW,Everton,26,1998,30,"1,534",51,44.9,17,15,82,6,15,20,8,1.07,23,24,-1,-0.06,-0.01,21.3,18.6,2.7,0.16,0.5,Matches
74,Marcus Bettinelli,eng ENG,GK,Chelsea,32,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
75,Philip Billing,dk DEN,MF,Bournemouth,28,1996,10,184,18,5.4,2,1,72,0,9,12,3,1.9,5,4,1,0.49,0.18,5.4,3.3,2.2,1.05,0.68,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,28,"1,408",50,41.2,15.6,16,72,4,12,21,6,1.11,28,28,0,0,0.04,22,27.5,-5.5,-0.35,-0.4,Matches
77,Oscar Bobb,no NOR,FW,Manchester City,21,2003,3,16,5,0.5,0.2,0,,0,3,5,0,3,0,1,-1,-5.63,-6.39,0.2,0.5,-0.3,-1.6,-2.14,Matches
78,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,8,476,60,13.9,5.3,5,77,2,3,30,14,1.5,10,11,-1,-0.19,-0.43,7.5,9.3,-1.8,-0.34,-0.58,Matches
79,Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,6,150,25,4.4,1.7,1,90,1,5,12,23,2.17,3,1,2,1.2,0.92,2.6,2.7,0,-0.03,0.07,Matches
80,Somto Boniface,eng ENG,DF,Ipswich Town,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
81,Sven Botman,nl NED,DF,Newcastle Utd,24,2000,8,412,52,12,4.6,6,67,1,2,5,2,1.63,7,4,3,0.66,0.12,8,4.8,3.2,0.71,0.26,Matches
82,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,34,"2,973",87,86.9,33,34,87,27,0,,0,1.15,41,50,-9,-0.27,1.14,41.4,50.6,-9.2,-0.28,0.44,Matches
83,Conor Bradley,nir NIR,DF,Liverpool,21,2003,19,754,40,22,8.4,7,68,1,12,23,6,1.84,13,10,3,0.36,-1.06,17.2,12.4,4.8,0.58,-0.73,Matches
84,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,30,"2,511",84,73.4,27.9,28,89,27,2,4,0,1.33,34,28,6,0.22,1.01,31.1,30,1.1,0.04,0.59,Matches
85,Sammy Braybrooke,eng ENG,MF,Leicester City,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
86,James Bree,eng ENG,DF,Southampton,26,1997,17,"1,075",63,31.4,11.9,13,78,7,4,15,15,0.29,8,31,-23,-1.93,-0.51,9.3,31.2,-21.9,-1.83,-0.67,Matches
87,Ben Brereton,cl CHI,FW,Southampton,25,1999,10,449,45,13.1,5,4,78,2,6,23,4,0.2,2,10,-8,-1.6,-0.03,5,11,-6,-1.2,0.2,Matches
88,Thorsten Brits,eng ENG,GK,Manchester City,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
89,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,18,702,39,20.5,7.8,7,74,1,11,17,7,0.44,12,12,0,0,1.52,9.1,11.6,-2.5,-0.32,0.87,Matches
90,Benjamin Broggio,eng ENG,FW,Aston Villa,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
91,Armando Broja,al ALB,FW,Everton,22,2001,10,334,33,9.8,3.7,4,58,0,6,17,3,1,1,2,-1,-0.27,-0.24,3.1,3.8,-0.7,-0.19,-0.08,Matches
92,David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,29,960,33,28.1,10.7,9,67,0,20,18,7,1.41,23,12,11,1.03,0.99,20.7,14.7,5.9,0.56,0.21,Matches
93,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,12,98,8,2.9,1.1,0,,0,12,8,11,2,1,2,-1,-0.92,-1.14,1.9,2,-0.1,-0.08,-0.24,Matches
94,Santiago Bueno,uy URU,DF,Wolves,25,1998,29,"1,687",58,49.3,18.7,18,87,14,11,12,8,1.31,26,34,-8,-0.43,-0.06,22.5,29.2,-6.6,-0.35,0.05,Matches
95,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,31,"1,523",49,44.5,16.9,14,80,6,17,24,3,0.52,17,33,-16,-0.95,0.53,16.8,28.6,-11.8,-0.7,0.6,Matches
96,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,18,"1,541",86,45.1,17.1,16,90,16,2,51,5,0.72,19,37,-18,-1.05,0.29,16.2,33.9,-17.7,-1.03,-0.05,Matches
97,Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,"3,330",90,97.4,37,37,90,37,0,,0,1.78,68,45,23,0.62,2.62,62.1,44.7,17.5,0.47,-0.3,Matches
98,Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,18,926,51,27.1,10.3,12,67,0,6,20,3,0.67,7,23,-16,-1.56,-0.47,9.6,23.2,-13.6,-1.32,-0.43,Matches
99,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,1,7,7,0.2,0.1,0,,0,1,7,13,3,1,0,1,12.86,11.96,0.3,0,0.2,3.09,2.43,Matches
100,Killian Cahill,ie IRL,GK,Brighton,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,38,"3,351",88,98,37.2,38,88,33,0,,0,1.82,62,42,20,0.54,-0.77,66.9,45.3,21.6,0.58,1.98,Matches
102,Tom Cairney,sct SCO,MF,Fulham,33,1991,25,628,25,18.4,7,3,70,0,22,19,10,1.2,15,12,3,0.43,0.53,10.3,9.7,0.6,0.09,0.05,Matches
103,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,30,"1,959",65,57.3,21.8,25,76,3,5,14,3,0.67,24,46,-22,-1.01,0.47,23.3,43.1,-19.8,-0.91,0.24,Matches
104,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,19,983,52,28.7,10.9,11,72,3,8,25,3,2.05,27,12,15,1.37,0.63,20.6,10.4,10.2,0.93,0.37,Matches
105,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,26,"1,609",62,47,17.9,19,77,8,7,20,0,1.27,17,18,-1,-0.06,-0.01,18.1,25.1,-7,-0.39,-0.51,Matches
106,Thomas Cannon,ie IRL,FW,Leicester City,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
107,Diego Carlos,br BRA,DF,Aston Villa,31,1993,10,830,83,24.3,9.2,8,90,8,2,55,7,1.3,14,15,-1,-0.11,-0.39,13.8,11.8,2,0.22,0.08,Matches
108,Scott Carson,eng ENG,GK,Manchester City,38,1985,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
109,Henry Cartwright,eng ENG,MF,Leicester City,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
110,Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,19,455,24,13.3,5.1,3,81,0,16,13,6,1.47,9,14,-5,-0.99,-1.41,6.5,11.2,-4.7,-0.92,-1.17,Matches
111,Cesare Casadei,it ITA,MF,Chelsea,21,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
112,Casemiro,br BRA,MF,Manchester Utd,32,1992,24,"1,494",62,43.7,16.6,18,76,7,6,22,14,1.29,18,20,-2,-0.12,0.25,22.9,23,-0.1,-0.01,0.04,Matches
113,Kaelan Casey,eng ENG,DF,West Ham,19,2004,1,1,1,0,0,0,,0,1,1,7,1,0,0,0,0,0.42,0.1,0.1,0,1.74,2.07,Matches
114,Matty Cash,pl POL,DF,Aston Villa,26,1997,27,"2,070",77,60.5,23,24,82,16,3,38,2,1.78,35,22,13,0.57,0.97,31.5,28.4,3.1,0.13,-0.06,Matches
115,Eiran Cashin,ie IRL,DF,Brighton,22,2001,2,20,10,0.6,0.2,0,,0,2,10,9,0,0,2,-2,-9,-9.24,0.4,0.4,0,-0.19,-0.3,Matches
116,Dante Cassanova,jm JAM,DF,Tottenham,20,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
117,Timothy Castagne,be BEL,DF,Fulham,28,1995,24,"1,649",69,48.2,18.3,17,89,16,7,19,9,1.33,30,28,2,0.11,0.21,23.4,22.2,1.2,0.06,0.03,Matches
118,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,12,"1,060",88,31,11.8,12,88,9,0,,2,1.42,13,13,0,0,0,16.6,15.2,1.4,0.12,-0.26,Matches
119,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,13,910,70,26.6,10.1,11,81,9,2,10,3,1.77,13,12,1,0.1,-0.62,15.7,11.4,4.4,0.43,-0.15,Matches
120,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,22,857,39,25.1,9.5,10,71,1,12,13,6,0.41,8,19,-11,-1.16,0.07,8.8,17.6,-8.8,-0.93,0.1,Matches
121,Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,4,45,11,1.3,0.5,0,,0,4,11,10,0.5,1,0,1,2,2.08,0.7,0.4,0.2,0.47,0.59,Matches
122,Federico Chiesa,it ITA,FW,Liverpool,26,1997,6,108,18,3.2,1.2,1,62,0,5,9,13,1.5,5,3,2,1.67,0.5,3.3,2.8,0.5,0.43,-0.74,Matches
123,Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,8,259,32,7.6,2.9,1,90,1,7,24,4,2,6,4,2,0.69,0.75,4.3,2.7,1.6,0.55,0.27,Matches
124,Chiquinho,pt POR,MF,Wolves,24,2000,1,7,7,0.2,0.1,0,,0,1,7,0,0,0,0,0,0,0.4,0.1,0,0.1,1.89,2.27,Matches
125,Tawanda Chirewa,zw ZIM,MF,Wolves,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
126,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,4,131,33,3.8,1.5,1,58,0,3,24,11,0.25,0,5,-5,-3.44,-2.29,0.9,5.3,-4.4,-2.97,-2.01,Matches
127,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,29,"2,117",73,61.9,23.5,27,76,10,2,28,0,1.52,40,28,12,0.51,0.51,40.8,29.9,10.9,0.46,0.14,Matches
128,Brayden Clarke,wls WAL,DF,Arsenal,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
129,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,7,379,54,11.1,4.2,4,85,3,3,14,5,0.43,4,9,-5,-1.19,0.03,4.3,9.1,-4.8,-1.13,-0.14,Matches
130,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,32,"1,181",37,34.5,13.1,12,66,1,20,19,3,0.59,14,31,-17,-1.3,-0.13,13,26.5,-13.5,-1.03,-0.04,Matches
131,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,13,483,37,14.1,5.4,5,70,1,8,16,24,1.31,4,11,-7,-1.3,-1.52,7.4,9.8,-2.4,-0.44,-0.86,Matches
132,Conor Coady,eng ENG,DF,Leicester City,31,1993,22,"1,714",78,50.1,19,19,89,16,3,7,13,0.73,16,42,-26,-1.37,-0.26,15.1,38.2,-23.1,-1.21,-0.36,Matches
133,Séamus Coleman,ie IRL,DF,Everton,35,1988,5,215,43,6.3,2.4,3,65,1,2,10,13,1.6,4,4,0,0,0.06,3.6,4.6,-1,-0.42,-0.33,Matches
134,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,"3,420",90,100,38,38,90,38,0,,0,1.47,66,57,9,0.24,,59,55.4,3.6,0.09,,Matches
135,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,6,179,30,5.2,2,0,,0,6,30,11,1.67,6,2,4,2.01,2.4,5.2,3.1,2.2,1.08,1.18,Matches
136,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,"3,149",90,92.1,35,35,90,34,0,,2,1.77,56,41,15,0.43,-1.56,57.8,43.6,14.2,0.41,-1.67,Matches
137,Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,36,"2,978",83,87.1,33.1,32,89,30,4,31,0,1.39,47,43,4,0.12,-1.51,55.1,44.5,10.6,0.32,-0.68,Matches
138,Maxwel Cornet,ci CIV,FW,Southampton,27,1996,2,72,36,2.1,0.8,1,45,0,1,27,3,0,0,4,-4,-5,-3.49,0.2,1.7,-1.5,-1.86,-0.49,Matches
139,Vladimír Coufal,cz CZE,DF,West Ham,31,1992,22,"1,067",49,31.2,11.9,11,78,5,11,19,11,1,12,21,-9,-0.76,-0.49,17.3,19.5,-2.1,-0.18,0.22,Matches
